driver_id,Amount(+)
3172801,250.0
3243390,250.0
3245279,500.0
3436008,300.0
3707646,500.0
3717245,400.0
3782398,250.0
3834599,500.0
3840723,500.0
3847778,500.0
3942803,265.0
3970701,500.0
3993963,300.0
4172069,420.0
4233683,250.0
4330693,400.0
4413887,250.0
4414940,400.0
4414967,500.0
4426020,377.0
4495555,250.0
4506203,1000.0
4524411,250.0
4673855,250.0
4692537,317.0
4740161,400.0
4776928,500.0
4839013,351.0
4867753,408.0
4902999,500.0
4959607,500.0
4980402,329.0
5003569,300.0
5051893,325.0
5105605,300.0
5131960,500.0
5265992,282.0
5342679,500.0
5360289,250.0
5360441,437.0
5454620,500.0
5505762,367.0
5543717,500.0
5569788,500.0
5589248,500.0
5597172,500.0
5607723,500.0
5722868,440.0
5724000,400.0
5769644,500.0
5833396,388.0
5885394,355.0
6019645,250.0
6081490,290.0
6110947,250.0
6126319,250.0
6186552,500.0
6218886,500.0
6220156,485.0
6223148,500.0
6252291,1000.0
6252892,555.0
6266446,601.0
6276181,330.0
6293538,250.0
6296480,500.0
6298692,250.0
6308045,500.0
6318950,250.0
6325877,400.0
6401957,300.0
6416372,320.0
6505196,1173.0
6508369,250.0
6552929,400.0
6558694,500.0
6563872,500.0
6568755,500.0
6582113,250.0
6596727,250.0
6599982,250.0
6604790,500.0
6617104,500.0
6620161,250.0
6621068,255.0
6633133,500.0
6678215,256.0
6679042,350.0
6693926,261.0
6725490,250.0
6727325,426.0
6773011,250.0
6784142,500.0
6789192,250.0
6899897,250.0
6936310,520.0
6978297,550.0
7083892,400.0
7109669,300.0
7148587,350.0
7181174,500.0
7192039,515.0
7241417,400.0
7243551,500.0
7243737,460.0
7244054,400.0
7253109,260.0
7254215,500.0
7273735,250.0
7276860,400.0
7281272,600.0
7299144,400.0
7340414,500.0
7350457,500.0
7369170,500.0
7371316,250.0
7388724,440.0
7436307,524.0
7460150,300.0
7465458,500.0
7469884,250.0
7473902,250.0
7474365,292.0
7482882,266.0
7487417,500.0
7490873,260.0
7495498,300.0
7497803,500.0
7498217,325.0
7500142,478.0
7502478,500.0
7510544,250.0
7518027,507.0
7524629,375.0
7525876,250.0
7536318,300.0
7549935,250.0
7571891,250.0
7586850,300.0
7588368,288.0
7599916,250.0
7605004,250.0
7605753,500.0
7624700,250.0
7627596,250.0
7633131,300.0
7635088,300.0
7636003,393.0
7646863,500.0
7648782,500.0
7656135,500.0
7668087,360.0
7669861,300.0
7670316,500.0
7671781,250.0
7672556,350.0
7681030,300.0
7681823,250.0
7698675,270.0
7711185,444.0
7718908,649.0
7727464,250.0
7743911,500.0
7746089,400.0
7748013,327.0
7753995,250.0
7756869,300.0
7787970,250.0
7794119,250.0
7802260,250.0
7816194,1000.0
7822955,250.0
7825416,250.0
7835794,400.0
7837033,260.0
7839058,250.0
7843176,300.0
7877036,413.0
7950147,400.0
7973153,400.0
7989364,300.0
8008388,500.0
8027176,300.0
8027920,491.0
8085330,500.0
8191216,250.0
8196970,267.0
8217478,500.0
8218956,280.0
8259932,274.0
8288239,250.0
8300542,287.0
8329703,250.0
8333334,350.0
8338185,300.0
8345568,350.0
8349348,300.0
8359215,490.0
8363907,277.0
8365720,250.0
8370322,323.0
8378854,256.0
8382800,300.0
8384703,400.0
8393052,760.0
8394343,5000.0
8397564,250.0
8411418,400.0
8415494,500.0
8421584,600.0
8433988,250.0
8434697,500.0
8435177,448.0
8444159,340.0
8460495,400.0
8467073,890.0
8467832,400.0
8481785,300.0
8529846,300.0
8533401,500.0
8534564,430.0
8538729,270.0
8548742,500.0
8570139,290.0
8576845,400.0
8578308,250.0
8602447,257.0
8651590,250.0
8655178,500.0
8661140,1000.0
8662749,350.0
8673458,400.0
8682506,258.0
8722653,250.0
8725633,513.0
8727569,300.0
8742811,308.0
8753086,300.0
8753448,300.0
8755032,400.0
8755212,515.0
8758798,300.0
8768512,700.0
8769874,300.0
8773598,300.0
8773657,250.0
8780285,715.0
8780432,253.0
8784855,472.0
8796404,250.0
8796810,250.0
8796840,327.0
8807351,250.0
8807660,250.0
