driver_id,Amount(+)
9033125,500.0
9043743,500.0
9051721,523.0
9056194,560.0
9056219,340.0
9056324,250.0
9057019,350.0
9057678,332.0
9059648,253.0
9068197,500.0
9073305,500.0
9073463,400.0
9074147,515.0
9075128,250.0
9095776,555.0
9097727,500.0
9106610,500.0
9107328,500.0
9113085,257.0
9118825,330.0
9124321,530.0
9128496,250.0
9129210,600.0
9129984,325.0
9133148,300.0
9133188,630.0
9134451,300.0
9140364,250.0
9144710,500.0
9159153,510.0
9163240,500.0
9163442,300.0
9163910,500.0
9168063,250.0
9168071,334.0
9168240,250.0
9168264,250.0
9168857,500.0
9169282,250.0
9173710,500.0
9177935,290.0
9182232,377.0
9183207,500.0
9184376,470.0
9199459,400.0
9202117,250.0
9210633,500.0
9210668,320.0
9211686,250.0
9217523,491.0
9229649,600.0
9236121,450.0
9236353,300.0
9241820,250.0
9241956,258.0
9245065,500.0
9246375,500.0
9246443,300.0
9248892,300.0
9264465,400.0
9265337,628.0
9272577,300.0
9273024,250.0
9277571,360.0
9277864,400.0
9279856,500.0
9281760,397.0
9282183,600.0
9285722,300.0
9285865,400.0
9286107,250.0
9293590,300.0
9296686,420.0
9297419,250.0
9300222,250.0
9301285,500.0
9304294,500.0
9304859,315.0
9308619,400.0
9309940,250.0
9312084,420.0
9312662,300.0
9320778,250.0
9321059,250.0
9324657,292.0
9329308,700.0
9333379,500.0
9334242,350.0
9334341,356.0
9334984,430.0
9337551,400.0
9338001,500.0
9338258,399.0
9339902,400.0
9342516,350.0
9351811,338.0
9352521,500.0
9353042,400.0
9356822,250.0
9357693,500.0
